,Cena,Liczba pokoi,Piętro,Rok budowy,Jestem,Rodzaj nieruchomości,Umeblowane,Liczba pięter w budynku,Powierzchnia,Niezależne pokoje,Dostępne od,Kaucja,Typ ogrzewania,Nr licencji pośrednika,Nr oferty,Dodatkowe informacje,Liczba osób w pokoju,Powierzchnia działki
0,4 500 zł,1,Parter,1900,Osobą prywatną,Lokal handlowy,Nie,3,50,Tak,Zaraz,,,,,,,
1,2 500 zł,1,2,2021,Osobą prywatną,Mieszkanie,Tak,17,31,,02. 01. 2023,2500,Miejskie,,,,,
2,2 400 zł,2,4,,Firmą,Mieszkanie,Tak,4,44,,,,C. o. miejskie,9605,JU05036,"
                
                                            Balkon
                                            Piwnica
                                            Miejsce parkingowe
                                            Internet
                                            Kuchnia
                                    
            ",,
3,2 300 zł,2,2,2022,Firmą,Mieszkanie,Tak,4,38,,,,,,PS203737,"
                
                                            Balkon
                                            Miejsce parkingowe
                                    
            ",,
4,2 200 zł,2,Parter,2020,Firmą,Mieszkanie,Tak,4,30,,01-01-2023,,,16897,,"
                
                                            Garaż
                                            Winda
                                            Aneks kuchenny
                                    
            ",,
5,500 zł,,1,2020,Osobą prywatną,Lokal biurowy,Tak,2,15,,,,,,,,,
6,2 950 zł,2,6,1972,Osobą prywatną,Mieszkanie,Tak,11,38,Tak,Zaraz,3000,Co,,,,,
7,2 500 zł,2,2,1980,Firmą,Mieszkanie,Tak,4,42,,,,Co Miejskie,,444558,"
                
                                            Balkon
                                            Piwnica
                                    
            ",,
8,3 000 zł,2,17,2016,Osobą prywatną,Mieszkanie,Tak,17,"37,50",,Zaraz,3000,,,,"
                
                                            Balkon
                                            Miejsce parkingowe
                                            Recepcja
                                            Komórka lokatorska
                                    
            ",,
9,3 200 zł,2,2,1935,Osobą prywatną,Dom piętro domu,Tak,2,50,Nie,Styczeń 2023,3000,Gaz,,,"
                
                                            Ogródek
                                            Gaz
                                            Woda
                                            Kanalizacja
                                            Przyjazne zwierzętom
                                            Aneks kuchenny
                                    
            ",,
10,2 500 zł,2,2,,Firmą,Mieszkanie,Tak,4,53,,,,,,,"
                
                                            Kuchnia
                                    
            ",,
11,2 500 zł,2,Parter,1969,Firmą,Mieszkanie,Tak,4,50,,,,C. o. miejskie,759,HA014986,"
                
                                            Piwnica
                                            Miejsce parkingowe
                                            Internet
                                            Kuchnia
                                    
            ",,
12,1 000 zł,,,,Osobą prywatną,Pokój,Tak,,10,Tak,,1000,,,,"
                
                                            Miejsce parkingowe
                                    
            ",1-osobowy,
13,2 700 zł,2,Parter,2021,Osobą prywatną,Mieszkanie,Tak,3,40,,Luty 2023,3000,Miejskie,,,"
                
                                            Wynajmę studentom
                                            Balkon
                                            Winda
                                            Miejsce parkingowe
                                            Internet
                                            Aneks kuchenny
                                            Kablówka
                                    
            ",,
14,2 500 zł,3,1,2009,Firmą,Mieszkanie,Tak,3,55,,,,,,,"
                
                                            Garaż
                                            Aneks kuchenny
                                    
            ",,
15,2 300 zł,1,Parter,2005,Osobą prywatną,Mieszkanie,Tak,4,35,,Od zaraz,2300,CO,,,,,
16,2 000 zł,2,1,1970,Osobą prywatną,Mieszkanie,Tak,4,36,,ZARAZ,4000,GAZ,,,"
                
                                            Wynajmę studentom
                                    
            ",,
17,3 800 zł,4,Parter,1975,Firmą,Mieszkanie,Tak,4,63,Tak,Zaraz,3000,Miejskie,,,"
                
                                            Wynajmę studentom
                                    
            ",1-osobowy,
18,3 300 zł,2,2,2012,Osobą prywatną,Mieszkanie,Tak,4,51,Tak,01. 01. 2023,,Centralne,,,"
                
                                            Balkon
                                            Winda
                                            Woda
                                            Kanalizacja
                                            Siła
                                            Miejsce parkingowe
                                            Aneks kuchenny
                                    
            ",,
19,3 600 zł,2,Parter,2022,Osobą prywatną,Mieszkanie,Tak,1,80,Tak,Zaraz,7200,Pompa ciepła,,,,3-osobowy,1 000
20,2 900 zł,2,4,2020,Firmą,Mieszkanie,Tak,5,40,,,,C. o. miejskie,18051,WV032138,"
                
                                            Balkon
                                            Garaż
                                            Winda
                                            Miejsce parkingowe
                                            Internet
                                            Kuchnia
                                    
            ",,
21,4 200 zł,3,2,,Firmą,Mieszkanie,Tak,3,72,,,,Co Własne,,DH228657,"
                
                                            Miejsce parkingowe
                                    
            ",,
22,3 000 zł,3,Parter,1935,Firmą,Mieszkanie,Tak,2,65,,,,Co Miejskie,,DH683305,"
                
                                            Ogródek
                                    
            ",,
23,8 000 zł,5,,2021,Firmą,Dom bliźniak,Nie,1,112,,,,Gazowe,,DH986328,"
                
                                            Ogródek
                                            Gaz
                                            Woda
                                            Kanalizacja
                                            Miejsce parkingowe
                                            Internet
                                    
            ",,300
24,2 800 zł,2,2,2013,Osobą prywatną,Mieszkanie,Tak,5,42,Tak,01. 02. 2023,3500,CO,,,,,
25,2 800 zł,2,3,2019,Osobą prywatną,Mieszkanie,,6,42,,01. 02. 2023,,CO,,,"
                
                                            Balkon
                                            Winda
                                            Woda
                                            Miejsce parkingowe
                                            Przyjazne zwierzętom
                                            Kuchnia
                                            Aneks kuchenny
                                            Ochrona
                                            Komórka lokatorska
                                            Osiedle zamknięte
                                    
            ",,
26,3 000 zł,3,3,2008,Osobą prywatną,Mieszkanie,Tak,3,64,,,4500,,,,,,
27,4 900 zł,3,1,2019,Osobą prywatną,Mieszkanie,Tak,4,"63,50",Tak,,,,,,,,
28,2 500 zł,2,3,1980,Osobą prywatną,Mieszkanie,Tak,4,38,Tak,16. 01. 2023,3000,Miejskie,,,,,
29,3 000 zł,,Parter,1992,Osobą prywatną,Lokal usługowy,,2,100,,Zaraz,3000,Gazowe,,,"
                
                                            Gaz
                                            Woda
                                            Kanalizacja
                                            Miejsce parkingowe
                                    
            ",,
30,37 800 zł,,Parter,2000,Firmą,Magazyn,Nie,,1 512,,,,Elektryczne,,BH06031,"
                
                                            Siła
                                            Miejsce parkingowe
                                            Internet
                                    
            ",,
31,59 432 zł,,Parter,2000,Firmą,Magazyn,Nie,,2 584,,,,Elektryczne,,BH06030,"
                
                                            Siła
                                            Miejsce parkingowe
                                            Internet
                                    
            ",,
32,2 100 zł,2,Parter,2018,Osobą prywatną,Mieszkanie,Tak,3,40,Tak,Zaraz,2300,,,,,,40
33,2 800 zł,2,3,2022,Osobą prywatną,Mieszkanie,Tak,4,40,Tak,Zaraz,4000,Miejskie,,,"
                
                                            Wynajmę studentom
                                            Winda
                                            Aneks kuchenny
                                    
            ",,
34,1 900 zł,1,Parter,2012,Osobą prywatną,Mieszkanie,Tak,1,28,Tak,08. 01. 2023,2600,Własne,,,"
                
                                            Wynajmę studentom
                                    
            ",1-osobowy,1
35,5 200 zł,4,,2014,Osobą prywatną,Dom bliźniak,Tak,2,165,Tak,Zaraz,6000,Pompa ciepła,,,"
                
                                            Balkon
                                            Garaż
                                            Taras
                                            Ogródek
                                            Woda
                                            Kanalizacja
                                            Piwnica
                                            Kuchnia
                                            Komórka lokatorska
                                    
            ",,350
36,2 900 zł,2,3,2022,Firmą,Mieszkanie,Tak,4,46,,,,C. o. miejskie,18051,WV032096,"
                
                                            Balkon
                                            Garaż
                                            Winda
                                            Piwnica
                                            Miejsce parkingowe
                                            Internet
                                            Kuchnia
                                    
            ",,
37,2 900 zł,2,6,2013,Osobą prywatną,Mieszkanie,Tak,7,36,,01. 01. 23,3000,,,,"
                
                                            Garaż
                                            Winda
                                            Taras
                                            Woda
                                            Kanalizacja
                                            Miejsce parkingowe
                                            Internet
                                            Przyjazne zwierzętom
                                            Kuchnia
                                            Podjazd dla niepełnosprawnych
                                            Recepcja
                                            Ochrona
                                            Rowerownia
                                            Osiedle zamknięte
                                    
            ",,
38,3 200 zł,2,Parter,2013,Osobą prywatną,Mieszkanie,Tak,4,43,,11. 01. 2023,3000,Centralne,,,,,100
39,2 500 zł,3,3,,Firmą,Mieszkanie,Tak,3,58,,,,C. o. miejskie,18051,WV032117,"
                
                                            Balkon
                                            Piwnica
                                            Miejsce parkingowe
                                            Internet
                                            Kuchnia
                                    
            ",,
40,2 400 zł,2,3,2020,Firmą,Mieszkanie,Tak,4,44,,,,C. o. miejskie,18051,WV032119,"
                
                                            Balkon
                                            Winda
                                            Piwnica
                                            Miejsce parkingowe
                                            Internet
                                            Kuchnia
                                    
            ",,
41,2 200 zł,2,6,1980,Osobą prywatną,Mieszkanie,Tak,10,31,Tak,Luty 2023,3000,Centralne,,,"
                
                                            Wynajmę studentom
                                            Winda
                                            Aneks kuchenny
                                    
            ",2-osobowy,
42,2 800 zł,2,3,2018,Osobą prywatną,Mieszkanie,Tak,3,"48,21",,,5000,Miejskie,,,"
                
                                            Balkon
                                            Winda
                                            Woda
                                            Kanalizacja
                                            Siła
                                            Miejsce parkingowe
                                            Internet
                                            Aneks kuchenny
                                            Kablówka
                                            Komórka lokatorska
                                            Osiedle zamknięte
                                    
            ",,
43,1 950 zł,2,4,1985,Osobą prywatną,Mieszkanie,Tak,4,49,Tak,Od zaraz,2500,Miejskie,,,"
                
                                            Balkon
                                            Piwnica
                                            Internet
                                            Kuchnia
                                    
            ",,
44,9 500 zł,,Parter,2022,Firmą,Lokal usługowy,Nie,5,"96,66",,,,Co Miejskie,,GN472727,"
                
                                            Winda
                                            Woda
                                            Kanalizacja
                                            Miejsce parkingowe
                                            Internet
                                    
            ",,
45,7 900 zł,1,Parter,1950,Firmą,Lokal usługowy,Nie,,"107,56",,,,Gazowe,,GN340130,"
                
                                            Gaz
                                            Woda
                                            Kanalizacja
                                            Miejsce parkingowe
                                            Internet
                                    
            ",,
46,2 800 zł,2,1,1900,Firmą,Mieszkanie,Tak,4,52,,,,Co Miejskie,,GN868164,"
                
                                            Balkon
                                            Gaz
                                            Woda
                                            Kanalizacja
                                            Piwnica
                                            Miejsce parkingowe
                                            Internet
                                    
            ",,
47,2 200 zł,1,Parter,1910,Osobą prywatną,Mieszkanie,Tak,3,25,Tak,Zaraz,2200,Centralne,,,,,
48,2 300 zł,2,Parter,1990,Osobą prywatną,Lokal usługowy,Tak,1,70,Nie,Zaraz,2300,Gaz,,,,,100
49,2 300 zł,2,Parter,1995,Osobą prywatną,Mieszkanie,Tak,2,77,Tak,Zaraz,2300,Gaz,,,"
                
                                            Wynajmę studentom
                                    
            ",4-osobowy,500
50,1 800 zł,2,3,1976,Firmą,Mieszkanie,Tak,4,46,,,,Co Miejskie,,DH528052,"
                
                                            Balkon
                                            Piwnica
                                    
            ",,
51,2 300 zł,2,3,1960,Firmą,Mieszkanie,Tak,5,55,,,,Co Miejskie,,DH729657,"
                
                                            Balkon
                                            Woda
                                            Piwnica
                                    
            ",,
52,3 200 zł,2,Parter,,Firmą,Mieszkanie,Tak,3,47,,,,Co Miejskie,,DH807519,"
                
                                            Winda
                                            Ogródek
                                            Miejsce parkingowe
                                    
            ",,
53,6 900 zł,3,2,,Firmą,Mieszkanie,Tak,3,102,,,,Co Miejskie,,DH945449,"
                
                                            Balkon
                                            Winda
                                            Woda
                                            Miejsce parkingowe
                                    
            ",,
54,5 200 zł,3,4,2021,Osobą prywatną,Mieszkanie,Tak,6,72,Tak,,5200,,,,,,
55,2 700 zł,2,2,2022,Osobą prywatną,Mieszkanie,Tak,5,44,Tak,11. 01. 2023,3000,Grzejniki,,,,2-osobowy,
56,3 600 zł,2,Parter,2022,Osobą prywatną,Mieszkanie,Tak,6,42,,,,,,,,,
57,900 zł,,Parter,1950,Firmą,Lokal usługowy,,,10,,,,,,,,,
58,1 950 zł,1,Parter,1950,Firmą,Lokal usługowy,,,16,,2. 01. 2023,,,,,,,
59,2 150 zł,2,1,2020,Osobą prywatną,Mieszkanie,Tak,3,32,,1 marca,4300,CO,,,,,
60,4 000 zł,1,Parter,2020,Firmą,Lokal usługowy,Nie,4,48,,,,,,DH619738,"
                
                                            Winda
                                            Gaz
                                            Woda
                                            Kanalizacja
                                            Internet
                                    
            ",,
61,3 000 zł,2,5,2018,Osobą prywatną,Mieszkanie,Tak,5,36,Tak,03. 01. 2023,3000,,,,,,
62,2 250 zł,1,Parter,1980,Osobą prywatną,Mieszkanie,Tak,4,30,,Grudzień 2022,2500,C. o.,,,,,
63,2 500 zł,2,1,2011,Firmą,Mieszkanie,Tak,3,42,Tak,Od zaraz,,Miejskie,13215,,,,
64,1 500 zł,1,6,1980,Osobą prywatną,Mieszkanie,Tak,10,18,,Zaraz,2300,Miejskie,,,,,
